2026-08-12 11:33:46 | INFO | worker | Worker запущен, ожидает задания...
2026-08-12 11:33:46 | INFO | __main__ | Worker-поток запущен
2026-08-12 11:33:46 | INFO | __main__ | Старт сервера: http://127.0.0.1:8000
2026-08-12 11:35:26 | INFO | __main__ | Создано задание 9c5cefd9-54f6-4440-bed4-676dc9439e4a для проекта '1902-ИГМИ' (user=anonymous)
2026-08-12 11:35:26 | INFO | worker | [9c5cefd9-54f6-4440-bed4-676dc9439e4a] Запуск задания: 1902-ИГМИ
2026-08-12 11:35:26 | INFO | parser | Парсинг завершён за 0.12 сек: 228 параграфов, 29 таблиц, всего 257 блоков (with_refs=False)
2026-08-12 11:35:26 | INFO | parser | Парсинг завершён за 0.04 сек: 61 параграфов, 20 таблиц, всего 81 блоков (with_refs=True)
2026-08-12 11:35:26 | DEBUG | parser | Сигнатура таблицы: Таблица 2.1 – Гидрологическая изученность района изысканий
2026-08-12 11:35:26 | DEBUG | parser | Сигнатура таблицы: Таблица 2.2 – Метеорологическая изученность района изысканий
2026-08-12 11:35:26 | DEBUG | parser | Сигнатура таблицы: Таблица 3.1 - Климатические параметры холодного периода года
2026-08-12 11:35:26 | DEBUG | parser | Сигнатура таблицы: Таблица 3.2 - Климатические параметры теплого периода года по метеостанции Хорей
2026-08-12 11:35:26 | DEBUG | parser | Сигнатура таблицы: Таблица 3.3 - Средние многолетние значения температуры воздуха по данным наблюде
2026-08-12 11:35:26 | DEBUG | parser | Сигнатура таблицы: Таблица 3.4 - Даты перехода среднесуточной температуры воздуха через заданные пр
2026-08-12 11:35:26 | DEBUG | parser | Сигнатура таблицы: Таблица 3.5 - Средние многолетние значения температуры почвы, °С
2026-08-12 11:35:26 | DEBUG | parser | Сигнатура таблицы: Таблица 3.6 - Среднемесячная и годовая температура почвы по вытяжным термометрам
2026-08-12 11:35:26 | DEBUG | parser | Сигнатура таблицы: Таблица 3.7 - Среднее месячное и годовое парциальное давление водяного пара, гПа
2026-08-12 11:35:26 | DEBUG | parser | Сигнатура таблицы: Таблица 3.8 - Средняя месячная и годовая относительная влажность воздуха, %
2026-08-12 11:35:26 | DEBUG | parser | Сигнатура таблицы: Таблица 3.9 - Среднемесячный и годовой дефицит насыщения, гПа
